model,accuracy,precision,recall,f1_score,roc_auc,threshold
autoencoder,0.9795462997396802,0.9682631275245239,1.0,0.9838756962767516,0.9962150551325173,0.0017544852751214784
isolation_forest,0.6251394570472295,0.9652777777777778,0.41418355184743744,0.5796497080900751,0.9250609210484433,0.014858107821131464
ocsvm,0.9107474897731499,0.9608974358974359,0.8933253873659118,0.9258801729462631,0.9787775471010776,2.6209429754218565
pca,0.9888434362216437,0.9830011723329426,0.9994040524433849,0.9911347517730497,0.9974918329837814,0.0016814817408814485
